;parent;child;hex;r;g;b;luminance;brightness;hue;brightness_lab
0;Pink_colors;Pink;FF C0 CB;255;192;203;206.188;216.666666667;349.523809524;light
1;Pink_colors;LightPink;FF B6 C1;255;182;193;198.314;210.0;350.95890411;light
2;Pink_colors;HotPink;FF 69 B4;255;105;180;142.305;180.0;330.0;light
3;Pink_colors;DeepPink;FF 14 93;255;20;147;79.1304;140.666666667;327.574468085;base
4;Pink_colors;PaleVioletRed;DB 70 93;219;112;147;137.2752;159.333333333;340.373831776;base
5;Pink_colors;MediumVioletRed;C7 15 85;199;21;133;66.9292;117.666666667;322.247191011;base
6;Red_colors;LightSalmon;FF A0 7A;255;160;122;177.4534;179.0;17.1428571429;light
7;Red_colors;Salmon;FA 80 72;250;128;114;152.9264;164.0;6.17647058824;base
8;Red_colors;DarkSalmon;E9 96 7A;233;150;122;165.6242;168.333333333;15.1351351351;base
9;Red_colors;LightCoral;F0 80 80;240;128;128;151.8112;165.333333333;0.0;base
10;Red_colors;IndianRed;CD 5C 5C;205;92;92;116.0238;129.666666667;0.0;base
11;Red_colors;Crimson;DC 14 3C;220;20;60;65.408;100.0;348.0;base
12;Red_colors;Firebrick;B2 22 22;178;34;34;64.6144;82.0;0.0;dark
13;Red_colors;DarkRed;8B 00 00;139;0;0;29.5514;46.3333333333;0.0;dark
14;Red_colors;Red;FF 00 00;255;0;0;54.213;85.0;0.0;dark
15;Orange_colors;OrangeRed;FF 45 00;255;69;0;103.5618;108.0;16.2352941176;base
16;Orange_colors;Tomato;FF 63 47;255;99;71;130.144;141.666666667;9.13043478261;base
17;Orange_colors;Coral;FF 7F 50;255;127;80;150.8194;154.0;16.1142857143;base
18;Orange_colors;DarkOrange;FF 8C 00;255;140;0;154.341;131.666666667;32.9411764706;base
19;Orange_colors;Orange;FF A5 00;255;165;0;172.221;140.0;38.8235294118;base
20;Yellow_colors;Yellow;FF FF 00;255;255;0;236.589;170.0;60.0;base
21;Yellow_colors;LightYellow;FF FF E0;255;255;224;252.7618;244.666666667;60.0;light
22;Yellow_colors;LemonChiffon;FF FA CD;255;250;205;247.814;236.666666667;54.0;light
23;Yellow_colors;LightGoldenrodYellow ;FA FA D2;250;250;210;247.112;236.666666667;60.0;light
24;Yellow_colors;PapayaWhip;FF EF D5;255;239;213;240.5244;235.666666667;37.1428571429;light
25;Yellow_colors;Moccasin;FF E4 B5;255;228;181;230.3468;221.333333333;38.1081081081;light
26;Yellow_colors;PeachPuff;FF DA B9;255;218;185;223.4836;219.333333333;28.2857142857;light
27;Yellow_colors;PaleGoldenrod;EE E8 AA;238;232;170;228.7992;213.333333333;54.7058823529;light
28;Yellow_colors;Khaki;F0 E6 8C;240;230;140;225.628;203.333333333;54.0;light
29;Yellow_colors;DarkKhaki;BD B7 6B;189;183;107;178.7884;159.666666667;55.6097560976;base
30;Yellow_colors;Gold;FF D7 00;255;215;0;207.981;156.666666667;50.5882352941;base
31;Brown_colors;Cornsilk;FF F8 DC;255;248;220;247.4666;241.0;48.0;light
32;Brown_colors;BlanchedAlmond;FF EB CD;255;235;205;237.086;231.666666667;36.0;light
33;Brown_colors;Bisque;FF E4 C4;255;228;196;231.4298;226.333333333;32.5423728814;light
34;Brown_colors;NavajoWhite;FF DE AD;255;222;173;225.478;216.666666667;35.8536585366;light
35;Brown_colors;Wheat;F5 DE B3;245;222;179;223.7852;215.333333333;39.0909090909;light
36;Brown_colors;Burlywood;DE B8 87;222;184;135;188.541;180.333333333;33.7931034483;light
37;Brown_colors;Tan;D2 B4 8C;210;180;140;183.49;176.666666667;34.2857142857;light
38;Brown_colors;RosyBrown;BC 8F 8F;188;143;143;152.567;158.0;0.0;base
39;Brown_colors;SandyBrown;F4 A4 60;244;164;96;176.0984;168.0;27.5675675676;base
40;Brown_colors;Goldenrod;DA A5 20;218;165;32;166.6652;138.333333333;42.9032258065;base
41;Brown_colors;DarkGoldenrod;B8 86 0B;184;134;11;135.7494;109.666666667;42.6589595376;base
42;Brown_colors;Peru;CD 85 3F;205;133;63;143.2532;133.666666667;29.5774647887;base
43;Brown_colors;Chocolate;D2 69 1E;210;105;30;121.908;115.0;25.0;base
44;Brown_colors;SaddleBrown;8B 45 13;139;69;19;80.272;75.6666666667;25.0;dark
45;Brown_colors;Sienna;A0 52 2D;160;82;45;95.9114;95.6666666667;19.3043478261;base
46;Brown_colors;Brown;A5 2A 2A;165;42;42;68.1498;83.0;0.0;dark
47;Brown_colors;Maroon;80 00 00;128;0;0;27.2128;42.6666666667;0.0;dark
48;Purple,_violet,_and_magenta_colors;Lavender;E6 E6 FA;230;230;250;231.444;236.666666667;240.0;light
49;Purple,_violet,_and_magenta_colors;Thistle;D8 BF D8;216;191;216;198.12;207.666666667;300.0;light
50;Purple,_violet,_and_magenta_colors;Plum;DD A0 DD;221;160;221;177.3728;200.666666667;300.0;light
51;Purple,_violet,_and_magenta_colors;Violet;EE 82 EE;238;130;238;160.7584;202.0;300.0;light
52;Purple,_violet,_and_magenta_colors;Orchid;DA 70 D6;218;112;214;141.9;181.333333333;302.264150943;light
53;Purple,_violet,_and_magenta_colors;Fuchsia;FF 00 FF;255;0;255;72.624;170.0;300.0;base
